I went to this restaurant with a woman that I met recently.,1
The dishes offered were unique  very tasty and fresh from the lamb sausages  sardines with biscuits  large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).,1
This is where the aforementioned line was.,1
The food is reliable and the price is moderate.,1
Aside from the bearded  courdoroy blazer professor type with the NYU student he's sleeping with that week  you see a strange mix of hipsters  frat boys  Will Smith types who need to be told they are black  bitter cougars who cant understand why they arent married yet....,1
While the ambiance and atmosphere were great  the food and service could have been a lot better.,0
We always go there on the weekends and leave extremely full and satisfied.,1
i dont how this place is still running.,0
The server was really cool and served us our food and drinks with a smile.,1
We were in search of food and stumbled on this block of Indian restaurants on East Sixth Street.,1
Planet Thailand has always been a hit with me   I go there usually for the sushi  which is great   the thai food is excellent too .,1
Very excited to hear that short-term Chef Jason Narone has moved on  he truly was a low point of their Sterling track record.,0
Excellent experience.,1
Well worth the trip  close to City Hall and downtown subway stops.,1
I had to share my table with a loud group of kids and the service was rude an unattentive.,0
What more could you want?,1
If you are the type of person who likes being scared and entertained  this is a great place to go and eat.,1
All in all  I don't see how you can go wrong.,1
The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,1
We recently decided to try this location  and to our delight  they have outdoor seating  perfect since I had my yorkie with me.,1
My husband had the mesclun  salmon  and ice cream and he enjoyed all 3 courses.,1
We were told that the wait was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,1
The food is usually good but it certainly isn't a relaxing place to go.,0
I'm told that it is open 24hrs which is good.,1
Super friendly and knowledgable staff  fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!,1
The prices were fantastic.,1
What a great place!,1
Still  any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...,1
The table service could have been a little more attentive but as someone who also works in the service industry  I understood they were busy.,1
It's not mind-blowing  but to me  thai food never is and never will be.,1
Food was very good as well  considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer  so that fat was more of a melt-in-your-mouth experience).,0
Although  one night we went it was super cheesy  and another night it was less cheesy.,1
Even though it is a little loud  you don't have to yell at each other to talk.,1
i've been to sapphire twice and both times the food was fine  if not good.,1
It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,1
Was surprisingly disappointed.,0
I love the fact that the pizza tastes so good and is so cheap.,1
Nicky the Nose at the bar is a treat.,1
I went to Ruby Foo's after work with a group of 6.,1
I'm amazed we haven't been kicked out of this place yet.,1
Service was prompt  friendly and great.,1
I haven't eat a lamb chop as delicious as that the salads are really nice dressed with lemon and extra virgnin olive oil.,1
The sushi was awful!,0
Katz's has been a NYC original for over 100 years.,1
You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,1
The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down  it was a pleasurable experience.,1
The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,0
Late nite omelletes are not good here  there is no variety!,0
Everything at Sala Thai is tasty and well-portioned.,1
After all that  they complained to me about the small tip.,0
It's a great place to pick up a cheap lunch or dinner.,1
Behind this counter  two men are squeezed in.,1
Great find!!!,1
If only they delivered  they'd make a mint!,1
Whenever you need a Sushi fix  Mizu will be there with quality fish and great service.,1
Our waitress was sweet and accomodating  not overbearing.,1
Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,0
I was really disappointed ant wanted to tell everyone not to go eat or even take out food from there.,1
The website and rating makes this place look wonderful but in reality it was very disappointing.,0
Despite a slightly limited menu  everything prepared is done to perfection  ultra fresh and a work of food art.,1
The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,1
A large is $20  and toppings are about $3 each.,1
In any event  this is a place I'll be sure to stop by again when I'm in this part of town.,1
I definitely wouldn't go back.,0
It is not worth for that bucks.,0
brick oven gallery is My pick for best pizza restaurant anywhere.,1
Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,1
For many people  this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.,0
Growing up in NY  I have eaten my share of bagels.,1
Oh  don't even let me start with how expensive the bills were!,0
A hearty two thumbs up!,1
The scallion pancakes and fried dumplings were nothing out of the ordinary.,1
All the appetizers and salads were fabulous  the steak was mouth watering and the pasta was delicious!!!,1
Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated  we were served dishes we hadn't ordered three times  received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked)  and charged $45 more than we should have been on our bill.,1
Service is top notch.,1
The food now is inconsistent.,1
All pretty good.,1
You can also special order any kind of dumpling etc.,1
you guys rock.,1
Chance is a joke.,0
I was pretty much full after our fondue appetizer.,1
BE CAREFUL before you request extra spice.,1
The octopus eaters were floored by the Octopus salad.,1
We thought that this place is using too much of MSG cooking in the foods.,0
I was at Rao's last Wed.,1
And the Tom Kha soup was pathetic.,0
I started out with a Bombay beer which was big enough for two.,1
The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall  which are great for a date.,1
Service was quick.,1
Tends to turn people away.,0
We thought this a prelude to what the evening will be like.,1
I was turned on to this restaurant by a fellow foodie friend of mine  and have been going back regularly ever since.,1
Drawbacks: service is slow and they don't toast!,0
Went there for an office lunch.,1
I have been doing all of the above at the Heartland Brewery for over 5 years now and I HAVE NEVER BEEN DISAPPOINTED!,1
Everytime I decide to try another place on the UES  I get angry that I didn't just go to Zucchero Pomodori.,1
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,1
We've been following chef Lyle's food around New York for 15 years and while remaining classic  his innovations with bistro fare have made us return and return.,1
The best thing I tasted were the lambchops.,1
it's delicious!,1
The spicy tuna and salmon are the best we've ever had.,1
Even though its good seafood  the prices are too high.,1
In addition  the food is very good and the prices are reasonable.,1
Upon entering  we were greeted by the owners  Steven and Frederick  who went out of their way to be more than gracious hosts.,1
If you live outside the neighborhood  don't bother!,0
Been going here since it opened have seen the quality value decrease considerably.,0
Meat dishes now adorn the selections  although there's still a large number of vegetarian-friendly choices.,1
I never had anything I didn't like here.,1
Reasonable prices.,1
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,1
Try the crunchy tuna  it is to die for.,1
It won't break the bank but I also wouldnt come back for the food.,0
All in all  this midtown gem instantly became one of my favorite sushi restaurants in the city.,1
I've been to Joya twice and I will never go again.,0
So rushing us out was absolutely unnecessary!,0
However it is the ONLY Taiwanese restaurant in town.,1
It is a lot of fun with live entertainment and all kinds of Disney type special effects.,1
if you're looking for perfect traditional sushi  go here - if you're looking for interesting combinations  try sushi of gari's (east side).,1
No refills on fountain drinks  though.,1
Wow over 100 beers to choose from.,1
Be careful of portions - they're HUGE.,1
The Steak Tartare is a great bet  they fix it for you at the table.,1
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,0
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,1
Did I mention the wine?,1
Plus  on Wednesday nights the house wine is unlimited!,1
It is by far my favorite restaurant in Brooklyn.,1
Now it's so crowded and loud you can't even talk to the person next to you.,0
Love Pizza 33..,1
Even my Indian friend couldn't believe how good and tasty everything was.,1
I'm from England  and Haru's was the best I had in NYC.,1
Less = More in their case.,1
Ruby Foo's is a tourist trap.,0
I've been here a couple of times and have not been impressed.,0
I've been many time and have never been disappointed.,1
Ciao Bella,1
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,0
The dim sum servings here are a bit larger than I'm used to.,1
However  in the summer of 2003  it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.,0
We won't go to this place again for a good meal.,1
It's a much more grown up restaurant compared to the rest of the street.,1
Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed  however herb mix or other sauce would have done much to enhance.,0
We were treated with attitude ever since the moment we stepped into the restaurant!,0
After dinner  take your date to the HUGE dance floor  probably one of the biggest you'll see in NY.,1
Taj Mahal offeres gret value and great food.,1
Has the chef and owner changed???,1
My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience.,1
I absolutely Loved this place.,1
I wish I lived there as I would eat at this place as often as possible!,1
But don't ever order bacon late at nite (either platter or in sandwiches  for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos  hurt my molars.,0
Outstanding Bagels  but you get what you pay for.,1
Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best  freshly baked bread!,1
If you're in town  it's worth searching for another place.,1
I have tried the various slice joints around the village but this is by far the best one.,1
I found it on a cold night  the perfect spot to warm up.,1
They even have a section in the menu called American Chinese food!,0
Service was warm and attentive  beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.,1
kalbi and nebbiolo do work together.,1
Best Italian food I ever had (and being Italian  that means alot).,1
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,1
Located at the end of a magnificent block.,1
This restaurant is not worth the time  effort  or money to say the least.,0
Looking around  I saw a room full of New Yorkers enjoying a real meal in a real restaurant  not a clubhouse of the fabulous trying to be seen.,1
Keep up the good work guys!,1
Hurley's is terrific!,1
They don't walk around with the trays of Dim Sum.,1
Took my sister here before attending a show one evening.,1
Great bar  most gorgeous bartenders you've ever seen (specifically the blond lady).,1
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,0
Really.,1
I really loved the different and inovated touch that's the cheff gives to the food.,1
Our friends have not arrived yet.,1
They came out over cooked and the cheese was almost non existant.,0
I had a terrific meal  and our server guided us toward a very nice wine in our price range  instead of allowing us to purchase a similarly priced wine that wasn't as good.,1
The svc can be a bit rude at times  esp if you have big group  but overall the restaurant is a must!,1
My husband and I thougt it would be great to go to the Jekyll and Hyde Pub for our anniversary  and to our surprise it was fantastic.,1
Never once did I leave feeling unwelcome or impressed.,1
The food is good  especially their more basic dishes  and the drinks are delicious.,1
But the main hit was the whole grilled fish.,1
I had the tuna tartare with sake  mushroom ravioli with pinot noir  and the chocolate sampler with a dessert wine for $49.,1
On a hot day it was fabulous to stop in and enjoy lunch.,1
The food is delicious and beautifully prepared along with the friendly and personable service.,1
I usually go there later at night when I get off work so I don't have to deal with crowds or lines.,0
Pizza here is consistently good.,1
We had a great tiem watching the shows and characters and ar food was just what we were looking for.,1
After 2 tries by the waiter to take it away (we hadn't even looked at it yet  we had full beers yet to drink)  the manager approached and told us they needed the table for people with reservations.,0
Wouldn't recomend it for dinner!,0
Sauce was watery and the food didn't have much flavor.,0
My husband and I enjoy Sangria.,1
But after last night  Spice Grill is the only place I'm eating indian cuisine.,1
We both opted for a pasta dish and they were served timely and fresh.,1
First the wrong bread came out with the appetizer  then when i tried to order a second glass of wine for my main course...,0
Not sure where the previous reviewer  lonk  dined  but Saul is in a great neighborhood and has great food!,1
In an area sadly lacking in decent Thai food  this is one of the best spots.,1
Tell them Herky sent you and get a free confused look from the waiter.,0
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,0
The food was average or above including some surprising tasty dishes.,1
They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,0
Other apetizers and food,1
The noodle and rices dishes taste great.,1
The food's as good as ever.,1
The crust is thin  the ingredients are fresh and the staff is friendly.,1
Your friends will thank you for introducing them to this gem!,1
Also a little more expensive than your average bagel place.,0
the food was undercooked-the sauce watery  and the vegetables raw.,0
And the fried clams had just enough kick to them to make 'em worth eating.,1
The sauces used are also not that exciting.,0
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,1
I absolutely love this place!!!,1
The rice was poor quality and was cooked so badly it was hard.,0
We had champagne and caviar and felt like princesses!,1
The shrimp scampi was excellent and the antipasti were plentiful.,1
I am surprised to say the least and find such practice not worth the effort.,0
When my dessert came  there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift  and said he knew it was a special occassion of some sort.,1
I got the $10 10-piece dim sum combo  every bite of which was great.,1
There are other Vietnamese restaurants in the chinatown area and you can forget about those.,1
There is also very limited seating and there can be a substantial wait in getting food at peak times.,0
If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken  go to Village!,1
No thanks!!!,0
There was a long wait for a table outside  but it was a little too hot in the sun anyway so our insde table was very nice.,0
I would definently recommend this restaurant.,1
The prices are wonderfully low.,1
If you like spicy food get the chicken vindaloo.,1
I lOVE THIS PLACE!,1
I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,1
So much more than the usual bar food  go there to enjoy the menu while sampling one of their hand-crafted beers.,1
A big disappointment  all around.,1
And its absolutely DELICIOUS.,1
No free drink.,0
I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.,1
This is my first time writing a review for a restaurant because the food and service was excellent.,1
Definitely Highly NOT recommended.,0
While they keep the capex to a minimum  they do put some cash into the bagels  because they among the best in the city.,1
I had a huge group for my birthday and we were well taken care of.,1
The two star chefs left quite some time ago to open their own place.,1
Don't waste money on decor.,1
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,1
go to any corned indian restaurant  and the little india strip along east 6 st rules supreme!,1
I have never before eaten 40 pieces of relatively good nigiri.,1
Given the incredible architecture surrounding it  this place has no character.,0
I'd call it an 'italian dinner'.,1
my first time here was with my gf for our 12 month anniversary.,1
While the place is not a hotspot hangout  the drinks are unique and pack a lot of bang for the buck.,1
I have walked by this place for eons and finally went thanks to a girls' night.,1
Have frequented 'ino for several years and the food remains excellent.,1
Their eggplant is so delicate  sweet tender!,1
I pray it stays open forever.,1
Each bite of food at Kai was indeed delicious  fresh  and elegant.,1
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,1
